register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date
﻿99400603111,"Parada de taxis * Pl Doctor Andreu, 1",,,2018-07-10T16:09:18+02:00,2024-08-02T14:46:13.378919+02:00,,,137402,Pl Doctor Andreu,1,,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,08035,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,427414.7737974151,4585328.395579569,41.41623198459382,2.1314506205157686,,,
﻿99400603116,"Parada de taxis * C Espronceda, 2",,,2018-07-10T16:09:18+02:00,2024-08-02T14:29:33.799084+02:00,,,115603,C Espronceda,2,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,433979.30839008186,4583595.878818218,41.40119379648939,2.2101828447107703,,,
﻿99400603121,"Parada de taxis * C Tuset, 38",,,2018-07-10T16:09:18+02:00,2024-08-02T14:49:30.943921+02:00,,,348408,C Tuset,38,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08006,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429022.04764693126,4583159.727068425,41.39684320471642,2.150935423975448,,,
﻿99400603128,"Parada de taxis * Pl Espanya, 6",,,2018-07-10T16:09:19+02:00,2024-08-02T14:46:54.310656+02:00,,,114000,Pl Espanya,6,,15,Hostafrancs,03,Sants-Montjuïc,08014,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428811.3641943193,4580795.97409032,41.37553511744411,2.148693168593465,,,
﻿99400603214,"Parada de taxis * C Rambla, 44",,,2018-07-10T16:09:19+02:00,2024-08-02T14:34:20.392417+02:00,,,034308,C Rambla,44,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431001.60680801445,4581223.930367096,41.379580368459045,2.1748337432005447,,,
﻿99400603215,"Parada de taxis * C Tànger, 162",,,2018-07-10T16:09:19+02:00,2024-08-02T14:36:51.308501+02:00,,,330107,C Tànger,162,,68,el Poblenou,10,Sant Martí,08018,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432830.6354612231,4584044.248219134,41.40513699128105,2.1963926005808445,,,
﻿99400603217,"Parada de taxis * C Torre Melina, 2",,,2018-07-10T16:09:19+02:00,2024-08-02T14:37:05.695760+02:00,,,700761,C Torre Melina,2,,20,la Maternitat i Sant Ramon,04,Les Corts,08028,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,425498.1812505717,4581525.9422513535,41.3818097071517,2.1089873468854274,,,
﻿99400603224,"Parada de taxis * C Comte d'Urgell, 154",,,2018-07-10T16:09:19+02:00,2024-08-02T14:27:14.679966+02:00,,,349706,C Comte d'Urgell,154,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429229.36688537174,4581956.774848561,41.38602692001183,2.1535557530022436,,,
﻿99400603225,"Parada de taxis * Ctra Vallvidrera al Tibidabo, 27",,,2018-07-10T16:09:19+02:00,2024-08-02T15:04:12.600479+02:00,,,335654,Ctra Vallvidrera al Tibidabo,27,,22,"Vallvidrera, el Tibidabo i les Planes",05,Sarrià-Sant Gervasi,08035,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,426482.49061808636,4586392.8060038695,41.42573386298241,2.1201668529312134,,,
﻿99400603226,"Parada de taxis * Pl Sant Gregori Taumaturg, 1",,,2018-07-10T16:09:19+02:00,2024-08-02T14:48:42.651872+02:00,,,302702,Pl Sant Gregori Taumaturg,1,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08021,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,427942.38418424805,4582944.801936685,41.39481143908255,2.1380470567483534,,,
﻿99400603229,"Parada de taxis * C Mallorca, 400",,,2018-07-10T16:09:19+02:00,2024-08-02T14:42:06.806831+02:00,,,191204,C Mallorca,400,,06,la Sagrada Família,02,Eixample,08013,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430962.1016662616,4583786.951352196,41.40266130967742,2.1740691989273992,,,
﻿99400603230,"Parada de taxis * Pg Sant Antoni, 55",,,2018-07-10T16:09:19+02:00,2024-08-02T15:24:44.281929+02:00,,,296406,Pg Sant Antoni,55,,18,Sants,03,Sants-Montjuïc,08014,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428208.03097401257,4581204.807972009,41.37916373647874,2.1414305777262825,,,
﻿99400603231,"Parada de taxis * E.M. Universitat, 1",,,2018-07-10T16:09:19+02:00,2024-08-02T15:04:20.568994+02:00,,,537295,E.M. Universitat,1,,10,Sant Antoni,02,Eixample,08007,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430099.9714276704,4581931.331277966,41.38587387815381,2.1639703866970312,,,
﻿99400603241,"Parada de taxis * Av Diagonal, 661",,,2018-07-10T16:09:19+02:00,2024-08-02T14:10:50.159953+02:00,,,144601,Av Diagonal,661,,20,la Maternitat i Sant Ramon,04,Les Corts,08028,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,425527.5769242737,4581708.974471572,41.3834609170922,2.109316371835241,,,
﻿99400603245,"Parada de taxis * Av Meridiana, 42",,,2018-07-10T16:09:19+02:00,2024-08-02T14:18:21.909583+02:00,,,209900,Av Meridiana,42,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,08018,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432055.33018471656,4583095.153321397,41.39652362300537,2.1872243382625096,,,
﻿99400603246,"Parada de taxis * C Deu i Mata, 66",,,2018-07-10T16:09:19+02:00,2024-08-02T14:28:02.424127+02:00,,,100107,C Deu i Mata,66,,19,les Corts,04,Les Corts,08029,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,427763.8720674278,4582253.366644511,41.38856794454271,2.135994393156064,,,
﻿99400603249,"Parada de taxis * Pl Espanya, 2",,,2018-07-10T16:09:20+02:00,2024-08-02T14:46:37.375651+02:00,,,114000,Pl Espanya,2,,11,el Poble-sec,03,Sants-Montjuïc,08004,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428903.53632905753,4580649.104543467,41.374220462225225,2.1498125150306384,,,
﻿99400603181,"Parada de taxis * C Tamarit, 138",,,2018-07-10T16:09:19+02:00,2024-08-02T14:36:45.515739+02:00,,,329902,C Tamarit,138,,10,Sant Antoni,02,Eixample,08015,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429742.3690945568,4581018.3171147,41.37761950921932,2.1597996302347378,,,
﻿99400603187,"Parada de taxis * C Rambla, 134",,,2018-07-10T16:09:19+02:00,2024-08-02T14:34:07.594290+02:00,,,034308,C Rambla,134,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430664.3909663382,4581808.335594462,41.384814939831614,2.1707344430359297,,,
﻿99400603195,"Parada de taxis * C Buenos Aires, 20",,,2018-07-10T16:09:19+02:00,2024-08-02T14:24:23.074122+02:00,,,051205,C Buenos Aires,20,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08029,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428599.06988343503,4582564.289788247,41.39144288317642,2.1459463483625116,,,
﻿99400603196,"Parada de taxis * G.V. Corts Catalanes, 660",,,2018-07-10T16:09:19+02:00,2024-08-02T15:20:09.841261+02:00,,,169409,G.V. Corts Catalanes,660,,07,la Dreta de l'Eixample,02,Eixample,08010,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430691.08356132446,4582514.8097063005,41.39118023002897,2.1709728294400317,,,
﻿99400603197,"Parada de taxis * C Tuset, 20",,,2018-07-10T16:09:19+02:00,2024-08-02T14:37:16.267192+02:00,,,348408,C Tuset,20,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08006,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429112.03279355715,4583059.8890612135,41.395951938439886,2.15202343434031,,,
﻿99400603199,"Parada de taxis * C Loreto, 34",,,2018-07-10T16:09:19+02:00,2024-08-02T14:41:34.740959+02:00,,,180900,C Loreto,34,,19,les Corts,04,Les Corts,08029,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428279.0780167262,4582454.95878723,41.390429710229604,2.142132160861483,,,
﻿99400603201,"Parada de taxis * C València, 112",,,2018-07-10T16:09:19+02:00,2024-08-02T14:49:48.499334+02:00,,,350308,C València,112,,09,la Nova Esquerra de l'Eixample,02,Eixample,08015,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429032.0488583222,4581696.680345395,41.38366695808196,2.151226466384249,,,
﻿99400603085,"Parada de taxis * Av Rio de Janeiro, 49",,,2018-07-10T16:09:18+02:00,2024-08-02T14:19:16.063522+02:00,,,282650,Av Rio de Janeiro,49,,45,Porta,08,Nou Barris,08016,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431487.4788275702,4587395.757281971,41.4352095315565,2.179945111263183,,,
﻿99400603088,"Parada de taxis * C Joan Miró, 21",,,2018-07-10T16:09:18+02:00,2024-08-02T14:38:46.339890+02:00,,,700661,C Joan Miró,21,,67,la Vila Olímpica del Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432617.42784542806,4582481.292422686,41.3910420417348,2.194015988820642,,,
﻿99400603089,"Parada de taxis * G.V. Corts Catalanes, 724",,,2018-07-10T16:09:18+02:00,2024-08-02T15:20:25.751870+02:00,,,169409,G.V. Corts Catalanes,724,,05,el Fort Pienc,02,Eixample,08013,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,431305.75446448656,4583115.956967022,41.39664731192078,2.1782561960796887,,,
